"NBN Atlas record ID","Occurrence ID","Licence","Rightsholder","Scientific name","Common name","Species ID (TVK)","Taxon Rank","Occurrence status","Start date","Start date day","Start date month","Start date year","End date","End day","End month","End year","Locality","OSGR","Latitude (WGS84)","Longitude (WGS84)","Coordinate uncertainty (m)","Verbatim depth","Recorder","Determiner","Individual count","Abundance","Abundance scale","Organism scope","Organism remarks","Sex","Life stage","Occurrence remarks","Identification verification status","Basis of record","Survey key","Dataset name","Dataset ID","Data provider","Data provider ID","Institution code","Kingdom","Phylum","Class","Order","Family","Genus","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province"
"fff45fee-2f13-474d-af7b-d9c360aa41d3","292493","CC-BY","Shropshire Ecological Data Network","Rumex obtusifolius","Broad-Leaved Dock","NBNSYS0000003791","species","present","1977-08-04","04","08","1977","","","","","Loamhole Dingle","SJ6605","52.64619","-2.49656","1000.0","","Bolt, Mr I.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","Rumex","SJ","SJ60","SJ60S","SJ6605","United Kingdom","England"
"fff45213-ca82-4a34-a01b-86e0c587e347","407992","CC-BY","Shropshire Ecological Data Network","Cirsium palustre","Marsh Thistle","NBNSYS0000004491","species","present","1995-08-06","06","08","1995","","","","","Shropshire","SO69Q","52.51588","-2.48772","2.0","","Trueman, Prof I.C., Whild, Dr S.J., Ashwell, Mrs A., Lockton, Mr A.J.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","Cirsium","SO","SO69","SO69Q","","United Kingdom","England"
"fff3441b-56f9-4d4f-9086-42b260fbe28b","95218","CC-BY","Shropshire Ecological Data Network","Iris pseudacorus","Yellow Iris","NBNSYS0000002269","species","present","2010-08-22","22","08","2010","","","","","Broadstone, Munslow","SO5489","52.50149","-2.67171","1000.0","","Whild, Dr S.J., Lockton, Mr A.J.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Asparagales","Iridaceae","Iris","SO","SO58","SO58P","SO5489","United Kingdom","England"
"fff2a8db-041f-4aa0-84b8-025b590c121a","115925","CC-BY","Shropshire Ecological Data Network","Glyceria declinata","Small Sweet-Grass","NHMSYS0000459086","species","present","2011-08-12","12","08","2011","","","","","Brown Clee","SO59668667","52.4765","-2.59528","10.0","","Whild, Dr S.J., Trueman, Prof I.C., Handley, Mr J.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Glyceria","SO","SO58","SO58Y","SO5986","United Kingdom","England"
"fff0ea4d-cfbc-44e9-96e4-5adef74edc9c","247913","CC-BY","Shropshire Ecological Data Network","Geum urbanum","Wood Avens","NBNSYS0000003361","species","present","2010-08-19","19","08","2010","","","","","The Speller","SO5189","52.50123","-2.7159","1000.0","","Lockton, Mr A.J.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","Geum","SO","SO58","SO58E","SO5189","United Kingdom","England"
"fff07f36-8ecb-49b0-b472-79599b22c2d5","909206","CC-BY","Shropshire Ecological Data Network","Euphrasia officinalis agg.","","NHMSYS0000458671","unranked","present","1958-08-30","30","08","1958","","","","","Billings Ring","SO3687","52.48171","-2.93646","1000.0","","Rutter, Mr E.M.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","Euphrasia","SO","SO38","SO38T","SO3687","United Kingdom","England"
"fff01a4f-8486-4eae-9cd7-221050b7f887","364647","CC-BY","Shropshire Ecological Data Network","Plantago lanceolata","Ribwort Plantain","NBNSYS0000004275","species","present","1994-08-02","02","08","1994","","","","","Stoke Park","SJ652271","52.84073","-2.51734","100.0","","Whild, Dr S.J., Lockton, Mr A.J.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","Plantago","SJ","SJ62","SJ62N","SJ6527","United Kingdom","England"
"ffef92bb-5ba6-4e57-8ae7-b8b56dac9d72","174344","CC-BY","Shropshire Ecological Data Network","Cardamine hirsuta","Hairy Bitter-Cress","NBNSYS0000002876","species","present","2015-08-17","17","08","2015","","","","","Caer Caradoc","SO4795","52.5548","-2.77577","1000.0","","Green, Mr P.R.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","Cardamine","SO","SO49","SO49S","SO4795","United Kingdom","England"
"ffebdee1-0317-4380-9103-44f5d1cc0186","363623254","CC-BY","","Myosotis scorpioides","Water Forget-Me-Not","NBNSYS0000004005","species","present","1982-08-17","17","08","1982","1982-08-17","17","08","1982","","SO67X","52.37216","-2.45676","2000.0","","","","","","","","","","","","Accepted","HumanObservation","1","Flora of Worcestershire","dr1323","Botanical Society of Britain & Ireland","dp91","Worcestershire Flora Project","Plantae","Tracheophyta","Magnoliopsida","","Boraginaceae","Myosotis","SO","SO67","SO67X","","United Kingdom","England"
"ffea3aba-6a6f-4918-9e3b-e0ee417daac3","129888","CC-BY","Shropshire Ecological Data Network","Briza media","Quaking-Grass","NBNSYS0000002565","species","present","1994-08-23","23","08","1994","","","","","Gorstley Rough","SO590748","52.37016","-2.60288","100.0","","Wrench, Mr D.H.","N/A","","","","","","","","","Accepted","HumanObservation","","Shropshire Ecological Data Network database","dr782","Shropshire Ecological Data Network","dp120","","Plantae","Tracheophyta","Magnoliopsida","Poales","Poaceae","Briza","SO","SO57","SO57X","SO5974","United Kingdom","England"
