Code,Species,Taxon,Display name,TVK,Common name,Status,Site,Site Status,Hectad,Tetrad,Monad,GR,DC,Y,Date,Recorder,Determiner,Herbarium,Habitat,Abundance,Altitude,Sex/stage,Record type,Substrate,Comment,Reference
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SJ22,SJ22B,N/A,SJ22B,J,1993,1993,"Dawes, Mrs R.A.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SJ22,SJ22G,N/A,SJ22G,J,1993,1993,"Dawes, Mrs R.A.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SJ22,SJ22J,N/A,SJ22J,J,1993,1993,"Dawes, Mrs R.A.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SJ22,SJ22K,N/A,SJ22K,J,1993,1993,"Dawes, Mrs R.A.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SJ22,SJ22M,N/A,SJ22M,J,1993,1993,"Dawes, Mrs R.A.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SJ22,SJ22N,N/A,SJ22N,J,1993,1993,"Dawes, Mrs R.A.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SJ22,SJ22T,N/A,SJ22T,J,1993,1993,"Dawes, Mrs R.A.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SJ22,SJ22V,N/A,SJ22V,J,1993,1993,"Dawes, Mrs R.A.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SJ22,SJ22W,N/A,SJ22W,J,1993,1993,"Dawes, Mrs R.A.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SJ22,SJ22Y,N/A,SJ22Y,J,1993,1993,"Dawes, Mrs R.A.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SJ22,SJ22Z,N/A,SJ22Z,J,1993,1993,"Dawes, Mrs R.A.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Oreton,Wildlife Site,SO68,SO68K,N/A,SO68K,J,1993,JUL 1993,"Day, Mr J.J., Biron, Ms E.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Worcestershire Flora Project (1999-2002)
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SO48,SO48S,N/A,SO48S,J,1993,1993,"Dyer, Miss A.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
0970*072*003*003*00,Acer campestre,Acer campestre,Acer campestre L.,NHMSYS0001749341,Field Maple,None,Shropshire,N/A,SO48,SO48T,N/A,SO48T,J,1993,1993,"Dyer, Miss A.",N/A,N/A,N/A,present,N/A,present,field record,N/A,N/A,Shropshire Botanical Society (1985-2018)
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
